Meridian_Deg,V4e,I3e,I2e
0,90.0,66.88,46.72
30,76.51,57.08,40.53
60,58.45,45.66,32.76
90,49.98,40.06,28.82
120,53.16,41.99,30.28
150,59.07,46.78,33.86
180,59.1,48.77,35.27
210,55.06,47.16,33.73
240,56.11,46.53,32.54
270,67.37,51.5,35.24
300,83.98,60.97,41.51
330,90.0,68.23,46.89
