Meridian_Deg,V4e,I3e,I2e
0,90.0,61.36,41.12
30,75.09,51.66,34.99
60,57.16,40.5,27.38
90,48.86,35.25,23.66
120,52.21,37.55,25.34
150,58.26,42.6,29.09
180,58.33,44.69,30.55
210,54.25,42.98,28.95
240,55.17,42.09,27.6
270,66.25,46.7,30.08
300,82.69,55.81,36.13
330,90.0,62.8,41.35
